,Date,Home,Name,Position,Team,Vs,A,Bbps,BPS,CS,FA,G,GC,GW,Mins,Off,OG,On,Pl Rc,Pl Yc,Starts,TA,X A,X G,X Gi,Date_Formatted,Vs_xGC_per90_Last6,Vs_xG_per90_Last6,xG_per90_Last6,xA_per90_Last6,xGC_per90_Last6
2737,12/09/2020,False,"Bamford  Patrick Bamford (Leeds United, Forward)",FWD,LEE,LIV,0,4,28,0,0,1,3,1,62,1,0,0,0,0,1,0,0.01,0.08,0.09,2020-09-12,,,,,
2736,12/09/2020,False,"Ayling  Luke Ayling (Leeds United, Defender)",DEF,LEE,LIV,0,15,15,0,0,0,4,1,90,0,0,0,0,0,1,0,0.23,0.0,0.23,2020-09-12,,,,,
2735,12/09/2020,True,"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",MID,FUL,ARS,0,4,4,0,0,0,0,1,27,0,0,1,0,0,0,0,0.02,0.0,0.02,2020-09-12,,,,,
2734,12/09/2020,True,"Rodák  Marek Rodák (Fulham, Goalkeeper)",GKP,FUL,ARS,0,11,11,0,0,0,3,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2733,12/09/2020,True,"Reed  Harrison Reed (Fulham, Midfielder)",MID,FUL,ARS,0,14,14,0,0,0,3,1,90,0,0,0,0,0,1,0,0.02,0.0,0.02,2020-09-12,,,,,
2732,12/09/2020,True,"Ream  Tim Ream (Fulham, Defender)",DEF,FUL,ARS,0,16,16,0,0,0,3,1,90,0,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2731,12/09/2020,True,"Onomah  Josh Onomah (Fulham, Midfielder)",MID,FUL,ARS,0,3,3,0,0,0,3,1,75,1,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2730,12/09/2020,True,"Odoi  Denis Odoi (Fulham, Defender)",DEF,FUL,ARS,0,12,12,0,0,0,3,1,90,0,0,0,0,0,1,0,0.01,0.03,0.04,2020-09-12,,,,,
2729,12/09/2020,True,"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FWD,FUL,ARS,0,3,3,0,0,0,0,1,27,0,0,1,0,0,0,0,0.0,0.03,0.03,2020-09-12,,,,,
2728,12/09/2020,True,"Kebano  Neeskens Kebano (Fulham, Midfielder)",MID,FUL,ARS,0,7,7,0,0,0,3,1,63,1,0,0,0,0,1,0,0.01,0.05,0.06,2020-09-12,,,,,
2727,12/09/2020,True,"Kamara  Aboubakar Kamara (Fulham, Midfielder)",MID,FUL,ARS,0,-2,-2,0,0,0,3,1,63,1,0,0,0,0,1,0,0.01,0.03,0.04,2020-09-12,,,,,
2726,12/09/2020,True,"Hector  Michael Hector (Fulham, Defender)",DEF,FUL,ARS,0,12,12,0,0,0,3,1,90,0,0,0,0,1,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2738,12/09/2020,False,"Hélder Costa  Helder Costa (Leeds United, Midfielder)",MID,LEE,LIV,1,9,18,0,0,0,4,1,90,0,0,0,0,0,1,1,0.03,0.0,0.03,2020-09-12,,,,,
2725,12/09/2020,True,"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FWD,FUL,ARS,0,4,4,0,0,0,0,1,15,0,0,1,0,0,0,0,0.0,0.01,0.01,2020-09-12,,,,,
2723,12/09/2020,True,"Cairney  Tom Cairney (Fulham, Midfielder)",MID,FUL,ARS,0,11,11,0,0,0,3,1,90,0,0,0,0,1,1,0,0.08,0.0,0.08,2020-09-12,,,,,
2721,12/09/2020,False,"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",DEF,ARS,FUL,0,13,37,1,0,1,0,1,90,0,0,0,0,0,1,0,0.0,0.31,0.31,2020-09-12,,,,,
2720,12/09/2020,False,"Xhaka  Granit Xhaka (Arsenal, Midfielder)",MID,ARS,FUL,0,11,11,1,0,0,0,1,78,1,0,0,0,0,1,0,0.22,0.2,0.42,2020-09-12,,,,,
2719,12/09/2020,False,"Tierney  Kieran Tierney (Arsenal, Defender)",DEF,ARS,FUL,0,13,25,1,0,0,0,1,90,0,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2718,12/09/2020,False,"Pepe  Nicolas Pepe (Arsenal, Midfielder)",MID,ARS,FUL,0,3,3,0,0,0,0,1,15,0,0,1,0,0,0,0,0.06,0.0,0.06,2020-09-12,,,,,
2717,12/09/2020,False,"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",FWD,ARS,FUL,0,3,3,0,0,0,0,1,3,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
